title,soldprice,solddate,link
"1991-92 Fleer Cello Box 24 Packs 53 Cards Per Pack  - Jordan , Rookie Sensations",240.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1991-92-Fleer-Cello-Box-24-Packs-53-Cards-Per-Pack-Jordan-Rookie-Sensations/184668123619?hash=item2aff13f1e3:g:0N0AAOSwhLNgLJwQ
Michael Jordan 1994 Pro Cards #633 Birmingham Barons Baseball 10 GEM ROOKIE,100.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-1994-Pro-Cards-633-Birmingham-Barons-Baseball-10-GEM-ROOKIE/184635188543?hash=item2afd1d653f:g:07cAAOSw6ThgCgWh
"1991/92 Fleer BASKETBALL JUMBO CELLO BOX,  24 PACKS w/Rookie Sensations, Jordan.",201.22,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1991-92-Fleer-BASKETBALL-JUMBO-CELLO-BOX-24-PACKS-w-Rookie-Sensations-Jordan/133664962238?hash=item1f1f0d76be:g:iXYAAOSwG8tgKW3O
Michael Jordan Fleer Rookie,11.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-Fleer-Rookie/224354574210?hash=item343c931f82:g:l3wAAOSwfs9fMiyM
1984 85 Michael Jordan Rookie RC Card 1986 Chicago Bulls  NO 1986 Fleer GOAT,400.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1984-85-Michael-Jordan-Rookie-RC-Card-1986-Chicago-Bulls-NO-1986-Fleer-GOAT/184672205455?hash=item2aff523a8f:g:P7MAAOSwXZtgMC-M
New Listing2006-07 Fleer Michael Jordan Rookie 20th Anniversary BGS 9.5,500.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2006-07-Fleer-Michael-Jordan-Rookie-20th-Anniversary-BGS-9-5/193907608911?hash=item2d25cb4d4f:g:8mAAAOSwU39gMoaY
New ListingCHICAGO BULLS MICHAEL JORDAN 1986 FLEER ROOKIE CARD MINT #57 GREAT LOOKING CARD,19.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/CHICAGO-BULLS-MICHAEL-JORDAN-1986-FLEER-ROOKIE-CARD-MINT-57-GREAT-LOOKING-CARD/383969411100?hash=item59665c401c:g:~n8AAOSwej1fvd9~
1998 MICHAEL JORDAN AUTHENTIC REPLICA FLEER ROOKIE STICKER 23K GOLD CARD,25.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1998-MICHAEL-JORDAN-AUTHENTIC-REPLICA-FLEER-ROOKIE-STICKER-23K-GOLD-CARD/393096203008?hash=item5b865c0b00:g:oy8AAOSwK2ZfZiyt
New Listing1986 Fleer Sticker MICHAEL JORDAN Rookie RC #8 PSA 6 Ex-Mt CENTERED 🔥🔥🔥,5000.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-Fleer-Sticker-MICHAEL-JORDAN-Rookie-RC-8-PSA-6-Ex-Mt-CENTERED/353395221222?hash=item5247ff22e6:g:XzoAAOSwIGhgKU2j
1986 Fleer Checklist #132 Michael Jordan 57 Rookie Year Card NM-MT Barkley Ewing,108.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-Fleer-Checklist-132-Michael-Jordan-57-Rookie-Year-Card-NM-MT-Barkley-Ewing/383955367913?hash=item596585f7e9:g:PfsAAOSw79JgKVdu
1992-93 Fleer Ultra Basketball Set Series 1 & 2 #1-375 SHAQ Rookie RC JORDAN🔥,32.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1992-93-Fleer-Ultra-Basketball-Set-Series-1-2-1-375-SHAQ-Rookie-RC-JORDAN/265031378510?hash=item3db519e64e:g:xpQAAOSw4OJflDei
1986-87 Michael Jordan Fleer Sticker Rookie Card #8 MINT condition ,3000.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-87-Michael-Jordan-Fleer-Sticker-Rookie-Card-8-MINT-condition/193896614263?hash=item2d25238977:g:GyoAAOSw-JBgHzDK
New Listing1984 Michael Jordan Rookie RC Chicago Bulls 8-Bit NO 1986 Fleer SEALED,135.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1984-Michael-Jordan-Rookie-RC-Chicago-Bulls-8-Bit-NO-1986-Fleer-SEALED/184674606907?hash=item2aff76df3b:g:ZBkAAOSw~SZgJjx4
1986 Fleer #57 MICHAEL JORDAN Rookie Card RC PSA EX-MT+ 6.5 BULLS,8102.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-Fleer-57-MICHAEL-JORDAN-Rookie-Card-RC-PSA-EX-MT-6-5-BULLS/313421449686?hash=item48f95fc9d6:g:djAAAOSwcJBgFuM~
New ListingNike Air Jordan 1 1984-1985 Michael Jordan Rookie RC 8-Bit shoe No 1986 Fleer,110.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Nike-Air-Jordan-1-1984-1985-Michael-Jordan-Rookie-RC-8-Bit-shoe-No-1986-Fleer/184673957370?hash=item2aff6cf5fa:g:Ct8AAOSwpKJgLcGz
1986-87 Fleer # 57 Michael Jordan RC ROOKIE REPRODUCTION GMA GRADED 10 Gem MT,19.82,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-87-Fleer-57-Michael-Jordan-RC-ROOKIE-REPRODUCTION-GMA-GRADED-10-Gem-MT/124572742115?hash=item1d011d31e3:g:lYwAAOSwMU5gDWtR
New Listing1984 Michael Jordan Rookie RC Chicago Bulls 8-Bit NO 1986 Fleer SEALED,135.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1984-Michael-Jordan-Rookie-RC-Chicago-Bulls-8-Bit-NO-1986-Fleer-SEALED/184674510540?hash=item2aff7566cc:g:ZBkAAOSw~SZgJjx4
New ListingMichael Jordan 2007 Fleer Box Set Rookie RCF College Game Used Floor,110.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-2007-Fleer-Box-Set-Rookie-RCF-College-Game-Used-Floor/193906366659?hash=item2d25b858c3:g:fJYAAOSwre9gMdMe
1986 Fleer Sticker Michael Jordan ROOKIE RC #8 BGS 8.5 NM-MT+,10000.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1986-Fleer-Sticker-Michael-Jordan-ROOKIE-RC-8-BGS-8-5-NM-MT/224343227802?hash=item343be5fd9a:g:uWMAAOSwvypgMEer
Michael Jordan Fleer Rookie Card Rc Reprint #57 Goat,9.52,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Michael-Jordan-Fleer-Rookie-Card-Rc-Reprint-57-Goat/313425975899?hash=item48f9a4da5b:g:b6sAAOSwSpNf8PL9
