title,soldprice,solddate,link
2019-2020 ZION WILLIAMSON NBA HOOPS PREMIUM STOCK BASE TRIBUTE ROOKIE CARD #296,5.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-2020-ZION-WILLIAMSON-NBA-HOOPS-PREMIUM-STOCK-BASE-TRIBUTE-ROOKIE-CARD-296/124574191305?hash=item1d01334ec9:g:fsAAAOSwsAVgKbRX
"3DayAuc. GRADED 10! Zion Williamson ROOKIE ""Get Out The Way!"" 2019 Premium Stock",33.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/3DayAuc-GRADED-10-Zion-Williamson-ROOKIE-Get-Out-The-Way-2019-Premium-Stock/233901207348?hash=item3675992f34:g:frMAAOSwUstgLvgw
2019-20 Panini Revolution Zion Williamson Rookie Card RC #101 Pelicans NBA PSA,49.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Panini-Revolution-Zion-Williamson-Rookie-Card-RC-101-Pelicans-NBA-PSA/184672397916?hash=item2aff552a5c:g:h10AAOSwaRhgMDjP
2019-20 Panini Select BLUE DISCO PRIZM Zion Williamson Rookie RC #1 BGS 9.5 /25,2875.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-20-Panini-Select-BLUE-DISCO-PRIZM-Zion-Williamson-Rookie-RC-1-BGS-9-5-25/274684058697?hash=item3ff4721c49:g:QQgAAOSw9iZgJErV
Zion Williamson 2019-20 Panini Prizm #248 Base Rookie RC 🔥Centered!!!🔥 📈,247.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Zion-Williamson-2019-20-Panini-Prizm-248-Base-Rookie-RC-Centered/303891245018?hash=item46c15467da:g:ku0AAOSwLf9gLvgH
Zion Williamson Rookie Cards Lot Base,27.98,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Zion-Williamson-Rookie-Cards-Lot-Base/284184652887?hash=item422ab9ac57:g:rFUAAOSw2-ZgKbLb
Zion Williamson 2019 Donruss Rated Rookie ,25.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Zion-Williamson-2019-Donruss-Rated-Rookie/154308687937?hash=item23ed83b841:g:ykkAAOSwSxBgEeyp
ZION WILLIAMSON 2019-20 Panini Prizm Mosaic NBA Debut ROOKIE #269 Pelicans RC,22.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/ZION-WILLIAMSON-2019-20-Panini-Prizm-Mosaic-NBA-Debut-ROOKIE-269-Pelicans-RC/363293715184?hash=item5495fe2af0:g:OkMAAOSwkG1gKbIH
Zion Williamson 2019-20 Donruss Optic MY HOUSE! #15 ROOKIE RC INSERT PSA 9,42.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Zion-Williamson-2019-20-Donruss-Optic-MY-HOUSE-15-ROOKIE-RC-INSERT-PSA-9/402692759992?hash=item5dc25be1b8:g:lqIAAOSwZpJgKbJ8
2019 Panini Prizm Zion Williamson ROOKIE RC #248 PSA 10 GEM MINT,610.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2019-Panini-Prizm-Zion-Williamson-ROOKIE-RC-248-PSA-10-GEM-MINT/363293712538?hash=item5495fe209a:g:KfUAAOSwarFgKbJC
