title,soldprice,solddate,link
🔥1996-97 Kobe Bryant Skybox Premium #55 Rookie Card LA Lakers Legend RC📈,85.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-97-Kobe-Bryant-Skybox-Premium-55-Rookie-Card-LA-Lakers-Legend-RC/265056273357?hash=item3db695c3cd:g:Sh4AAOSw2m1gLA6C
1996 Skybox Premium Kobe Bryant #203 PSA 8 N MINT ROOKIE RC Basketball Card D,193.77,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-Skybox-Premium-Kobe-Bryant-203-PSA-8-N-MINT-ROOKIE-RC-Basketball-Card-D/383955663533?hash=item59658a7aad:g:N3QAAOSwYjdgKZV0
1996 Skybox Premium Kobe Bryant #203 PSA 8 N MINT ROOKIE RC Basketball Card C,189.77,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-Skybox-Premium-Kobe-Bryant-203-PSA-8-N-MINT-ROOKIE-RC-Basketball-Card-C/383955662879?hash=item59658a781f:g:jjkAAOSwJBBgKZU8
96-97 fleer ultra kobe bryant rookie card HOT HOT,130.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/96-97-fleer-ultra-kobe-bryant-rookie-card-HOT-HOT/303888913218?hash=item46c130d342:g:4eAAAOSw2GhgGHFH
New ListingKOBE BRYANT ~ ROOKIE CARD! 1996-97 Upper Deck #58 RC ~ Los Angeles Lakers! 🔥,50.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/KOBE-BRYANT-ROOKIE-CARD-1996-97-Upper-Deck-58-RC-Los-Angeles-Lakers/124585963980?hash=item1d01e6f1cc:g:108AAOSwSwBgMph-
1996 Skybox Premium Kobe Bryant #203 PSA 8 N MINT ROOKIE RC Basketball Card B,190.77,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-Skybox-Premium-Kobe-Bryant-203-PSA-8-N-MINT-ROOKIE-RC-Basketball-Card-B/383955662400?hash=item59658a7640:g:W7wAAOSwf-5gKZUA
1996 Skybox Premium Kobe Bryant #203 PSA 8 N MINT ROOKIE RC Basketball Card A,195.77,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-Skybox-Premium-Kobe-Bryant-203-PSA-8-N-MINT-ROOKIE-RC-Basketball-Card-A/383955661483?hash=item59658a72ab:g:SIgAAOSwXGxgKZSP
1996-1997 Topps Kobe Bryant Rookie Card # 138..NBA 50th,810.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-1997-Topps-Kobe-Bryant-Rookie-Card-138-NBA-50th/184664991660?hash=item2afee427ac:g:w0kAAOSwOsZgKZJZ
1996 NBA Hoops Gold Foil Kobe Bryant Rookie RC #3 PSA Ready,399.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1996-NBA-Hoops-Gold-Foil-Kobe-Bryant-Rookie-RC-3-PSA-Ready/353392553027?hash=item5247d66c43:g:OycAAOSwEJ9gLQqW
1997 Kobe Bryant Fleer Metal 96-97 Basketball #181 Rookie Card HOF,141.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/1997-Kobe-Bryant-Fleer-Metal-96-97-Basketball-181-Rookie-Card-HOF/284184533992?hash=item422ab7dbe8:g:FRgAAOSwz0JgKZM1
