title,soldprice,solddate,link
2005 Topps Aaron Rodgers RC PSA 9🔥,334.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Topps-Aaron-Rodgers-RC-PSA-9/193895946678?hash=item2d251959b6:g:jm0AAOSwvCpgLAUX
GREEN BAY PACKERS 2020 Panini Contenders Football Break (1) Mega (2) Blasters,8.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/GREEN-BAY-PACKERS-2020-Panini-Contenders-Football-Break-1-Mega-2-Blasters/303887197841?hash=item46c116a691:g:kCgAAOSwSIRgKo6s
Marquez Valdes-Scantling J'Mon Moore Spectra Lot with 1/1 - Packers,110.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Marquez-Valdes-Scantling-JMon-Moore-Spectra-Lot-with-1-1-Packers/224139211030?hash=item342fbcf116:g:0TkAAOSwBMhfTB7R
2005 Topps Aaron Rodgers Green Bay Packers #431 Football Card possible PSA 10,191.38,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Topps-Aaron-Rodgers-Green-Bay-Packers-431-Football-Card-possible-PSA-10/203279568996?epid=93966918&hash=item2f54681064:g:THgAAOSw-npgKeIW
2005 Bazooka Aaron Rodgers #190 Psa 10 Rookie Gem Mint,999.95,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Bazooka-Aaron-Rodgers-190-Psa-10-Rookie-Gem-Mint/265019586397?hash=item3db465f75d:g:t5oAAOSwuPhgBmEj
🚨 2 Card RC Lot Aaron Rodgers 2005 Sage HIT Write Stuff Press Pass Power Pick ,17.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2-Card-RC-Lot-Aaron-Rodgers-2005-Sage-HIT-Write-Stuff-Press-Pass-Power-Pick/303893672732?hash=item46c179731c:g:~EIAAOSwEtdf-0dT
Aaron Rodgers 2005 Bowman Rookie PSA 9 MINT MVP!,299.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/Aaron-Rodgers-2005-Bowman-Rookie-PSA-9-MINT-MVP/303848158776?hash=item46bec2f638:g:vjcAAOSwlvlgARCZ
2005 Sage Hit AARON RODGERS Rookie RC Card Nice Condition! MVP,7.07,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Sage-Hit-AARON-RODGERS-Rookie-RC-Card-Nice-Condition-MVP/294015212761?hash=item4474ac1cd9:g:cK0AAOSwEbhgKdAy
2011 Topps Rising Rookies Aaron Rodgers Psa 9 HOF Bound,21.5,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2011-Topps-Rising-Rookies-Aaron-Rodgers-Psa-9-HOF-Bound/174638011871?hash=item28a93c95df:g:~mUAAOSwHOZgKVh~
2005 Playoff Absolute Memorabilia Spectrum Gold Auto 180 Aaron Rodgers ,1550.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Playoff-Absolute-Memorabilia-Spectrum-Gold-Auto-180-Aaron-Rodgers/324459749548?hash=item4b8b4ee0ac:g:aXMAAOSwo2BgCrI6
2005 TOPPS FOOTBALL SET ** FACTORY SEALED **  AARON RODGERS ROOKIE  RC * 1 SET *,279.99,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-TOPPS-FOOTBALL-SET-FACTORY-SEALED-AARON-RODGERS-ROOKIE-RC-1-SET/333882899991?hash=item4dbcf8be17:g:F5YAAOSwqAFgHFo5
2005 Topps Football Factory Set Sealed Aaron Rodgers MVP Frank Gore Rookie Rc,270.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Topps-Football-Factory-Set-Sealed-Aaron-Rodgers-MVP-Frank-Gore-Rookie-Rc/124576920545?hash=item1d015cf3e1:g:rQAAAOSwqTVgLGkD
2005 Upper Deck Rookie Premiere Aaron Rodgers Green Bay Packers RC MVP HOF,60.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-Upper-Deck-Rookie-Premiere-Aaron-Rodgers-Green-Bay-Packers-RC-MVP-HOF/284184704758?hash=item422aba76f6:g:Bb4AAOSwMVxgBN2S
2005 TOPPS FOOTBALL COMPLETE FACTORY SEALED SET-440 CARDS-AARON RODGERS ROOKIE,314.0,"Sold  Feb 21, 2021",https://www.ebay.com/itm/2005-TOPPS-FOOTBALL-COMPLETE-FACTORY-SEALED-SET-440-CARDS-AARON-RODGERS-ROOKIE/143942637040?hash=item2183a655f0:g:rYMAAOSwZvdgIbl6
